swatch,axis,angle_deg,tx,rx,range_m,power_db,delta_power_db_vs_baseline,phase_deg,phase_shift_vs_baseline_deg,snr_db,n_repeats,n_loops_total,coherence_within_file,coherence_across_repeats
petg_rect_3,boresight,0.0,0,0,1.78,59.36,-11.63,2.33,140.62,-13.55,3,1080,0.3616,0.6248
petg_rect_3,boresight,0.0,0,1,1.78,65.15,-8.5,-119.68,14.3,-13.55,3,1080,0.4636,0.966
petg_rect_3,boresight,0.0,0,2,1.78,54.96,-16.95,34.86,176.39,-13.55,3,1080,0.4791,0.3003
petg_rect_3,boresight,0.0,0,3,1.78,64.55,-8.93,-119.0,17.16,-13.55,3,1080,0.4523,0.8352
petg_rect_3,boresight,0.0,1,0,1.78,62.55,-11.69,3.19,134.97,-13.55,3,1080,0.5116,0.5946
petg_rect_3,boresight,0.0,1,1,1.78,65.82,-7.86,-82.89,64.34,-13.55,3,1080,0.5594,0.9228
petg_rect_3,boresight,0.0,1,2,1.78,50.0,-21.03,10.32,154.58,-13.55,3,1080,0.2788,0.4096
petg_rect_3,boresight,0.0,1,3,1.78,67.2,-8.73,-110.89,24.26,-13.55,3,1080,0.5318,0.9995
petg_rect_3,boresight,0.0,2,0,1.78,65.41,-6.18,-72.25,65.94,-13.55,3,1080,0.4835,0.8977
petg_rect_3,boresight,0.0,2,1,1.78,59.67,-9.46,175.88,-16.84,-13.55,3,1080,0.2432,0.9325
petg_rect_3,boresight,0.0,2,2,1.78,62.14,-7.47,22.02,175.1,-13.55,3,1080,0.3645,0.803
petg_rect_3,boresight,0.0,2,3,1.78,64.77,-9.63,-137.33,11.38,-13.55,3,1080,0.5896,0.7522
petg_rect_3_run_2,boresight,0.0,0,0,1.78,67.94,-3.05,-7.88,130.42,-12.79,3,1080,0.5113,0.9077
petg_rect_3_run_2,boresight,0.0,0,1,1.78,67.5,-6.15,-112.56,21.43,-12.79,3,1080,0.5284,0.8684
petg_rect_3_run_2,boresight,0.0,0,2,1.78,57.69,-14.22,-51.93,89.6,-12.79,3,1080,0.2471,0.6664
